,emotion,image,user.id
0,neutral,Augmented_FN_batch_0_file_0.jpg,1122
1,neutral,Augmented_FN_batch_0_file_1.jpg,1122
2,neutral,Augmented_FN_batch_0_file_2.jpg,1122
3,neutral,Augmented_FN_batch_0_file_3.jpg,1122
4,happiness,Augmented_FN_batch_0_file_4.jpg,1122
5,neutral,Augmented_FN_batch_0_file_5.jpg,1122
6,happiness,Augmented_FN_batch_0_file_6.jpg,1122
7,neutral,Augmented_FN_batch_0_file_7.jpg,1122
8,neutral,Augmented_FN_batch_0_file_8.jpg,1122
9,neutral,Augmented_FN_batch_0_file_9.jpg,1122
10,neutral,Augmented_FN_batch_0_file_10.jpg,1122
11,neutral,Augmented_FN_batch_0_file_11.jpg,1122
12,neutral,Augmented_FN_batch_0_file_12.jpg,1122
13,neutral,Augmented_FN_batch_0_file_13.jpg,1122
14,happiness,Augmented_FN_batch_0_file_14.jpg,1122
15,happiness,Augmented_FN_batch_0_file_15.jpg,1122
16,surprise,Augmented_FN_batch_0_file_16.jpg,1122
17,neutral,Augmented_FN_batch_0_file_17.jpg,1122
18,happiness,Augmented_FN_batch_0_file_18.jpg,1122
19,happiness,Augmented_FN_batch_0_file_19.jpg,1122
20,happiness,Augmented_FN_batch_0_file_20.jpg,1122
21,neutral,Augmented_FN_batch_0_file_21.jpg,1122
22,happiness,Augmented_FN_batch_0_file_22.jpg,1122
23,happiness,Augmented_FN_batch_0_file_23.jpg,1122
24,happiness,Augmented_FN_batch_0_file_24.jpg,1122
25,neutral,Augmented_FN_batch_0_file_25.jpg,1122
26,neutral,Augmented_FN_batch_0_file_26.jpg,1122
27,neutral,Augmented_FN_batch_0_file_27.jpg,1122
28,happiness,Augmented_FN_batch_0_file_28.jpg,1122
29,neutral,Augmented_FN_batch_0_file_29.jpg,1122
30,neutral,Augmented_FN_batch_0_file_30.jpg,1122
31,neutral,Augmented_FN_batch_0_file_31.jpg,1122
32,neutral,Augmented_FN_batch_0_file_32.jpg,1122
33,neutral,Augmented_FN_batch_0_file_33.jpg,1122
34,neutral,Augmented_FN_batch_0_file_34.jpg,1122
35,happiness,Augmented_FN_batch_0_file_35.jpg,1122
36,neutral,Augmented_FN_batch_0_file_36.jpg,1122
37,happiness,Augmented_FN_batch_0_file_37.jpg,1122
38,neutral,Augmented_FN_batch_0_file_38.jpg,1122
39,happiness,Augmented_FN_batch_0_file_39.jpg,1122
40,happiness,Augmented_FN_batch_0_file_40.jpg,1122
41,happiness,Augmented_FN_batch_0_file_41.jpg,1122
42,happiness,Augmented_FN_batch_0_file_42.jpg,1122
43,happiness,Augmented_FN_batch_0_file_43.jpg,1122
44,happiness,Augmented_FN_batch_0_file_44.jpg,1122
45,happiness,Augmented_FN_batch_0_file_45.jpg,1122
46,anger,Augmented_FN_batch_0_file_46.jpg,1122
47,neutral,Augmented_FN_batch_0_file_47.jpg,1122
48,happiness,Augmented_FN_batch_0_file_48.jpg,1122
49,happiness,Augmented_FN_batch_0_file_49.jpg,1122
50,happiness,Augmented_FN_batch_0_file_50.jpg,1122
51,neutral,Augmented_FN_batch_0_file_51.jpg,1122
52,neutral,Augmented_FN_batch_0_file_52.jpg,1122
53,neutral,Augmented_FN_batch_0_file_53.jpg,1122
54,happiness,Augmented_FN_batch_0_file_54.jpg,1122
55,happiness,Augmented_FN_batch_0_file_55.jpg,1122
56,happiness,Augmented_FN_batch_0_file_56.jpg,1122
57,neutral,Augmented_FN_batch_0_file_57.jpg,1122
58,happiness,Augmented_FN_batch_0_file_58.jpg,1122
