username,photo,emotion
nmg,Jose_Maria_Aznar_0021.jpg,surprise
nmg,Jose_Maria_Aznar_0022.jpg,anger
nmg,Jose_Maria_Aznar_0023.jpg,neutral
nmg,Jose_Miguel_Aleman_0001.jpg,neutral
nmg,Jose_Mourinho_0001.jpg,contempt
nmg,Jose_Mourinho_0002.jpg,disgust
nmg,Jose_Rosado_0001.jpg,neutral
nmg,Jose_Santos_0001.jpg,sadness
nmg,Jose_Sarney_0001.jpg,happiness
nmg,Jose_Sarney_0002.jpg,happiness
nmg,Jose_Sarney_0003.jpg,neutral
nmg,Jose_Serra_0001.jpg,happiness
nmg,Jose_Serra_0002.jpg,happiness
nmg,Jose_Serra_0003.jpg,neutral
nmg,Jose_Serra_0004.jpg,happiness
nmg,Jose_Serra_0005.jpg,happiness
nmg,Jose_Serra_0006.jpg,contempt
nmg,Jose_Serra_0007.jpg,happiness
nmg,Jose_Serra_0008.jpg,happiness
nmg,Jose_Serra_0009.jpg,happiness
nmg,Jose_Theodore_0001.jpg,happiness
nmg,Jose_Theodore_0002.jpg,neutral
nmg,Jose_Vicente_Rangel_0001.jpg,fear
nmg,Jose_Viegas_Filho_0001.jpg,happiness
nmg,Jose_Woldenberg_0001.jpg,anger
nmg,Joseph_Biden_0001.jpg,happiness
nmg,Joseph_Biden_0002.jpg,contempt
nmg,Joseph_Biden_0003.jpg,anger
nmg,Joseph_Biden_0004.jpg,contempt
nmg,Joseph_Biden_0005.jpg,surprise
nmg,Joseph_Blatter_0002.jpg,happiness
nmg,Joseph_Deiss_0001.jpg,fear
nmg,Joseph_Deiss_0002.jpg,fear
nmg,Joseph_Deiss_0003.jpg,happiness
nmg,Joseph_Estrada_0001.jpg,disgust
nmg,Joseph_Estrada_0002.jpg,sadness
nmg,Joseph_Estrada_0003.jpg,sadenss
nmg,Joseph_Estrada_0004.jpg,sadness
nmg,Joseph_Galante_0001.jpg,happiness
nmg,Joseph_Ganim_0001.jpg,sadness
nmg,Joseph_Hoy_0001.jpg,disgust
nmg,Joseph_Kabila_0001.jpg,happiness
nmg,Joseph_LePore_0001.jpg,sadness
nmg,Joseph_Lopez_0001.jpg,sadness
nmg,Joseph_Nacchio_0001.jpg,happiness
nmg,Joseph_Ralston_0001.jpg,fear
nmg,Joseph_Ralston_0002.jpg,fear
nmg,Joseph_Safra_0001.jpg,sadness
nmg,Joseph_Salgado_0001.jpg,neutral
