user.id,image,Primary,Secondary
x0512,Pete_Sampras_0009.jpg,happiness,happiness
x0512,Pete_Sampras_0011.jpg,anger,contempt
x0512,Pete_Sampras_0012.jpg,anger,contempt
x0512,Pete_Sampras_0013.jpg,sadness,sadness
x0512,Pete_Sampras_0014.jpg,happiness,happiness
x0512,Pete_Sampras_0015.jpg,sadness,sadness
x0512,Pete_Sampras_0016.jpg,neutral,neutral
x0512,Pete_Sampras_0017.jpg,sadness,sadness
x0512,Pete_Sampras_0018.jpg,fear,surprise
x0512,Pete_Sampras_0019.jpg,sadness,sadness
x0512,Pete_Sampras_0020.jpg,happiness,happiness
x0512,Pete_Sampras_0021.jpg,sadness,sadness
x0512,Pete_Sampras_0022.jpg,happiness,happiness
x0512,Peter_Ahearn_0001.jpg,fear,fear
x0512,Peter_Albertsen_0001.jpg,fear,fear
x0512,Peter_Arnett_0001.jpg,neutral,neutral
x0512,Peter_Arnett_0002.jpg,anger,disgust
x0512,Peter_Arnett_0003.jpg,neutral,neutral
x0512,Peter_Bacanovic_0001.jpg,neutral,neutral
x0512,Peter_Bacanovic_0002.jpg,anger,contempt
x0512,Peter_Camejo_0001.jpg,happiness,happiness
x0512,Peter_Care_0001.jpg,fear,surprise
x0512,Peter_Caruana_0001.jpg,happiness,happiness
x0512,Peter_Chan_0001.jpg,happiness,happiness
x0512,Peter_Costello_0001.jpg,anger,disgust
x0512,Peter_Costello_0002.jpg,happiness,happiness
x0512,Peter_Fisher_0001.jpg,happiness,happiness
x0512,Peter_Fitzgerald_0001.jpg,fear,surprise
x0512,Peter_Fonda_0001.jpg,happiness,happiness
x0512,Peter_Gabriel_0001.jpg,happiness,happiness
x0512,Peter_Gilmour_0001.jpg,anger,contempt
x0512,Peter_Goldmark_0001.jpg,anger,anger
x0512,Peter_Greenaway_0002.jpg,anger,disgust
x0512,Peter_Greenspun_0001.jpg,sadness,sadness
x0512,Peter_Harrison_0001.jpg,happiness,happiness
x0512,Peter_Harrison_0002.jpg,neutral,neutral
x0512,Peter_Hartz_0001.jpg,fear,surprise
x0512,Peter_Harvey_0001.jpg,anger,anger
x0512,Peter_Hillary_0001.jpg,happiness,happiness
x0512,Peter_Hillary_0002.jpg,happiness,happiness
x0512,Peter_Hollingworth_0001.jpg,neutral,neutral
x0512,Peter_Holmberg_0001.jpg,sadness,sadness
x0512,Peter_Hunt_0001.jpg,happiness,happiness
x0512,Peter_Lundgren_0001.jpg,happiness,happiness
x0512,Peter_Mackay_0001.jpg,anger,disgust
x0512,Peter_Mansbridge_0001.jpg,neutral,neutral
x0512,Peter_Max_0001.jpg,happiness,happiness
x0512,Peter_Medgyessy_0001.jpg,anger,anger
x0512,Peter_Mullan_0001.jpg,anger,contempt
x0512,Peter_OToole_0001.jpg,sadness,sadness
x0512,Peter_Rasch_0001.jpg,anger,anger
x0512,Peter_Rasmussen_0001.jpg,sadness,sadness
x0512,Peter_Schultz_0001.jpg,neutral,neutral
x0512,Peter_Sejna_0001.jpg,sadness,sadness
x0512,Peter_Shaw_0001.jpg,neutral,neutral
x0512,Peter_Struck_0001.jpg,sadness,sadness
x0512,Peter_Struck_0003.jpg,sadness,sadness
x0512,Peter_Struck_0004.jpg,sadness,sadness
x0512,Peter_Struck_0005.jpg,anger,anger
x0512,Peter_Ueberroth_0001.jpg,neutral,neutral
x0512,Petria_Thomas_0001.jpg,neutral,neutral
x0512,Petria_Thomas_0002.jpg,happiness,happiness
x0512,Petria_Thomas_0003.jpg,happiness,happiness
x0512,Petro_Symonenko_0001.jpg,neutral,neutral
x0512,Petro_Symonenko_0002.jpg,neutral,neutral
x0512,Pham_Sy_Chien_0001.jpg,sadness,sadness
x0512,Pham_Thi_Mai_Phuong_0001.jpg,happiness,happiness
x0512,Phan_Van_Khai_0001.jpg,neutral,neutral
x0512,Phan_Van_Khai_0002.jpg,happiness,happiness
x0512,Phan_Van_Khai_0003.jpg,anger,anger
x0512,Pharrell_Williams_0001.jpg,anger,disgust
x0512,Phil_Bennett_0001.jpg,anger,disgust
x0512,Phil_Bredesen_0001.jpg,happiness,happiness
x0512,Phil_Cline_0001.jpg,fear,surprise
x0512,Phil_Cullen_0001.jpg,happiness,happiness
x0512,Phil_Donahue_0001.jpg,fear,surprise
